id,first_name,second_name,last_name,birth_date,group,admission_year,education_form
131,София,Дмитриевна,Юдина,2002-11-19,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
132,Карл,Викторович,Богданов,2001-05-13,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
133,Григорий,Ефремович,Кириллов,2005-04-05,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
134,Нинель,Васильевна,Абрамова,2005-07-10,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
135,Олимпий,Егорович,Овчинников,2008-10-01,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
136,Нинель,Артемовна,Моисеева,2001-01-10,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
137,Пимен,Захарьевич,Елисеев,2004-08-10,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
138,Алевтина,Богдановна,Данилова,2000-09-13,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
139,Ираида,Филипповна,Волкова,2003-05-01,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
140,Олимпиада,Семеновна,Кулагина,2007-11-15,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
141,Клавдий,Гавриилович,Логинов,2007-10-07,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
142,Пелагея,Богдановна,Воронова,2006-04-09,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
143,Осип,Игнатьевич,Марков,2002-02-16,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
144,Гостомысл,Игнатович,Тихонов,2008-10-11,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
145,Ия,Ниловна,Авдеева,2000-12-22,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
146,Оксана,Богдановна,Веселова,2004-08-23,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
147,Любомир,Валентинович,Лыткин,2007-03-24,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
148,Раиса,Александровна,Прохорова,2008-03-17,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Очная
149,Надежда,Альбертовна,Пономарева,2009-03-03,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
150,Майя,Яковлевна,Симонова,2008-10-30,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
151,Ярослав,Феофанович,Мишин,2001-03-24,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
152,Елизар,Евстигнеевич,Хохлов,2002-07-31,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
153,Ия,Павловна,Бобылева,2008-08-05,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
154,Виталий,Аксёнович,Туров,2004-06-02,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
155,Галина,Константиновна,Жданова,2000-07-31,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
156,Устин,Устинович,Тарасов,2004-03-04,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
157,Викентий,Фомич,Блохин,2002-05-07,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
158,Виктория,Святославовна,Тетерина,2005-04-25,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
159,Раиса,Ивановна,Аксенова,2008-07-23,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
160,Савва,Демьянович,Панов,2002-10-23,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
161,Нестор,Геннадиевич,Русаков,2008-12-30,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
162,Всемил,Арсеньевич,Егоров,2007-05-30,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
163,Лукия,Сергеевна,Федотова,2000-05-23,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
164,Ия,Кузьминична,Дьячкова,2008-09-05,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
165,Геннадий,Филатович,Беляков,2008-08-03,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
166,Любовь,Леоновна,Жданова,2006-10-07,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
167,Оксана,Леонидовна,Беспалова,2003-07-24,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
168,Жанна,Филипповна,Блинова,2004-04-28,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
169,Надежда,Аскольдовна,Филиппова,2008-05-24,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
170,Наум,Теймуразович,Нестеров,2002-12-09,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
171,Полина,Антоновна,Гусева,2008-11-23,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
172,Феврония,Леоновна,Беспалова,2002-01-21,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
173,Потап,Бориславович,Назаров,2008-02-15,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
174,Агафья,Вениаминовна,Исакова,2002-12-23,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Очная
175,Афиноген,Харитонович,Шаров,2004-11-09,"{'id': 7, 'number': 107, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2025,Заочная
176,Мартьян,Тихонович,Кулагин,2001-09-19,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
177,Максим,Тарасович,Пестов,2005-09-26,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
178,Ярослав,Чеславович,Уваров,2000-12-17,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
179,Ян,Арсеньевич,Фролов,2005-03-28,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
180,Елизавета,Богдановна,Кудряшова,2002-01-09,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
181,Антонина,Павловна,Сергеева,2005-06-11,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
182,Алевтина,Аскольдовна,Большакова,2001-04-21,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
183,Кира,Матвеевна,Давыдова,2007-09-05,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
184,Галактион,Демьянович,Лобанов,2007-05-12,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
185,Феофан,Гавриилович,Романов,2003-04-30,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
186,Анжелика,Юрьевна,Беспалова,2006-11-10,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
187,Юлия,Егоровна,Чернова,2002-10-14,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
188,Елизавета,Рубеновна,Кабанова,2004-09-02,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
189,Оксана,Ждановна,Харитонова,2000-07-05,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
190,Октябрина,Ильинична,Ларионова,2003-01-14,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
191,Афанасий,Феофанович,Фокин,2006-03-25,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
192,Феврония,Кузьминична,Кабанова,2007-07-27,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
193,Зоя,Робертовна,Сазонова,2005-06-28,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
194,Евстафий,Теймуразович,Красильников,2008-07-27,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
195,Валентина,Егоровна,Щербакова,2006-06-16,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
196,Ульяна,Кирилловна,Филатова,2005-05-16,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
197,Акулина,Никифоровна,Егорова,2000-06-27,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
198,Татьяна,Альбертовна,Сысоева,2008-10-19,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Заочная
199,Ия,Евгеньевна,Кошелева,2006-05-06,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
200,Елена,Георгиевна,Орехова,2004-08-12,"{'id': 8, 'number': 108, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра механики'}",2024,Очная
201,Вера,Болеславовна,Лихачева,2001-01-07,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
202,Ксения,Павловна,Морозова,2006-07-23,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
203,Василиса,Богдановна,Бурова,2005-05-15,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
204,Макар,Фёдорович,Захаров,2003-10-07,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
205,Василиса,Тимофеевна,Шашкова,2006-07-29,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
206,Тарас,Юлианович,Сысоев,2004-12-26,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
207,Григорий,Дмитриевич,Сысоев,2008-07-19,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
208,Лавр,Игоревич,Брагин,2002-04-23,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
209,Руслан,Артемьевич,Баранов,2004-03-09,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
210,Никон,Иосифович,Тарасов,2007-01-23,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
211,Агафья,Захаровна,Белякова,2002-06-14,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
212,Радован,Исидорович,Муравьев,2004-10-23,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
213,Фотий,Тарасович,Бирюков,2006-09-02,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
214,Валентина,Евгеньевна,Воронова,2000-10-10,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
215,Юлия,Федоровна,Большакова,2004-02-12,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
216,Ангелина,Рубеновна,Бурова,2005-06-28,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
217,Надежда,Вадимовна,Кудрявцева,2001-02-13,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
218,Андрей,Ефимьевич,Горшков,2002-04-29,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
219,Валерий,Данилович,Белозеров,2002-08-28,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
220,Мария,Робертовна,Фомина,2007-06-25,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
221,Фрол,Витальевич,Доронин,2007-05-30,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
222,Антонина,Рудольфовна,Горбачева,2007-04-17,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
223,Ирина,Антоновна,Пахомова,2006-08-27,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Очная
224,Ерофей,Феофанович,Зуев,2004-05-14,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
225,Митофан,Бориславович,Зимин,2006-08-07,"{'id': 9, 'number': 109, 'course': 1, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра промышленного и гражданского строительства'}",2025,Заочная
226,София,Матвеевна,Семенова,2007-02-14,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
227,Ирина,Георгиевна,Меркушева,2002-06-06,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
228,Оксана,Богдановна,Нестерова,2003-12-16,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
229,Эдуард,Адамович,Васильев,2006-01-09,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
230,Зинаида,Владимировна,Устинова,2003-11-04,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
231,Ангелина,Тимуровна,Никитина,2004-01-09,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
232,Игорь,Игнатович,Носов,2002-11-10,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
233,Фёкла,Александровна,Егорова,2002-10-24,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
234,Владислав,Димитриевич,Лаврентьев,2003-04-27,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
235,Валерия,Алексеевна,Титова,2000-08-08,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
236,Людмила,Егоровна,Сафонова,2005-11-09,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
237,Акулина,Вячеславовна,Белоусова,2001-03-29,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
238,Владлен,Федосеевич,Назаров,2002-04-14,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
239,Ангелина,Руслановна,Третьякова,2006-07-05,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
240,Соломон,Борисович,Савельев,2008-12-02,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
241,Елена,Юрьевна,Соловьева,2009-03-22,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
242,Ладислав,Фокич,Носков,2000-11-17,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
243,Анастасия,Романовна,Сазонова,2007-03-08,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
244,Наталья,Борисовна,Емельянова,2007-11-24,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
245,Анжела,Артемовна,Маркова,2002-11-15,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
246,Артемий,Валерьянович,Егоров,2005-11-18,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
247,Наум,Ерофеевич,Панов,2008-12-13,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
248,Элеонора,Оскаровна,Комарова,2002-04-18,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Очная
249,Таисия,Даниловна,Горбунова,2008-01-12,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
250,Зосима,Фадеевич,Ширяев,2008-01-24,"{'id': 10, 'number': 110, 'course': 2, 'institute': 'Институт металлургии, машиностроения и материалообработки', 'department': 'Кафедра литейных процессов и материаловедения'}",2024,Заочная
